language_pair,classification
ars_Arab-tur_Latn,1-4
ars_Arab-vie_Latn,1-4
ary_Arab-cat_Latn,1-4
ary_Arab-ces_Latn,1-4
ary_Arab-eus_Latn,1-4
ary_Arab-fas_Arab,1-4
ary_Arab-fin_Latn,1-4
ary_Arab-hin_Deva,1-4
ary_Arab-hrv_Latn,1-4
ary_Arab-hun_Latn,1-4
ary_Arab-ita_Latn,1-4
ary_Arab-kor_Hang,1-4
ary_Arab-nld_Latn,1-4
ary_Arab-pol_Latn,1-4
ary_Arab-por_Latn,1-4
ary_Arab-rus_Cyrl,1-4
ary_Arab-srp_Cyrl,1-4
ary_Arab-srp_Latn,1-4
ary_Arab-swe_Latn,1-4
ary_Arab-tur_Latn,1-4
ary_Arab-vie_Latn,1-4
asm_Beng-cat_Latn,1-4
asm_Beng-ces_Latn,1-4
asm_Beng-eus_Latn,1-4
asm_Beng-fas_Arab,1-4
asm_Beng-fin_Latn,1-4
asm_Beng-hin_Deva,1-4
asm_Beng-hrv_Latn,1-4
asm_Beng-hun_Latn,1-4
asm_Beng-ita_Latn,1-4
asm_Beng-nld_Latn,1-4
asm_Beng-pol_Latn,1-4
asm_Beng-por_Latn,1-4
asm_Beng-rus_Cyrl,1-4
asm_Beng-swe_Latn,1-4
asm_Beng-tur_Latn,1-4
asm_Beng-vie_Latn,1-4
ast_Latn-cat_Latn,1-4
ast_Latn-ces_Latn,1-4
ast_Latn-eus_Latn,1-4
ast_Latn-fas_Arab,1-4
ast_Latn-fin_Latn,1-4
ast_Latn-hin_Deva,1-4
ast_Latn-hrv_Latn,1-4
ast_Latn-hun_Latn,1-4
ast_Latn-ita_Latn,1-4
ast_Latn-kor_Hang,1-4
ast_Latn-nld_Latn,1-4
ast_Latn-pol_Latn,1-4
ast_Latn-por_Latn,1-4
ast_Latn-rus_Cyrl,1-4
ast_Latn-srp_Cyrl,1-4
ast_Latn-srp_Latn,1-4
ast_Latn-swe_Latn,1-4
ast_Latn-tur_Latn,1-4
ast_Latn-vie_Latn,1-4
ayr_Latn-ita_Latn,1-4
ayr_Latn-pol_Latn,1-4
ayr_Latn-por_Latn,1-4
ayr_Latn-rus_Cyrl,1-4
azb_Arab-por_Latn,1-4
azb_Arab-rus_Cyrl,1-4
aze_Latn-cat_Latn,1-4
aze_Latn-ces_Latn,1-4
aze_Latn-eus_Latn,1-4
aze_Latn-fas_Arab,1-4
aze_Latn-fin_Latn,1-4
aze_Latn-hin_Deva,1-4
aze_Latn-hrv_Latn,1-4
aze_Latn-hun_Latn,1-4
aze_Latn-ita_Latn,1-4
aze_Latn-kor_Hang,1-4
aze_Latn-nld_Latn,1-4
aze_Latn-pol_Latn,1-4
aze_Latn-por_Latn,1-4
aze_Latn-rus_Cyrl,1-4
aze_Latn-srp_Cyrl,1-4
aze_Latn-swe_Latn,1-4
aze_Latn-tur_Latn,1-4
aze_Latn-vie_Latn,1-4
azj_Latn-cat_Latn,1-4
azj_Latn-ces_Latn,1-4
azj_Latn-eus_Latn,1-4
azj_Latn-fas_Arab,1-4
azj_Latn-fin_Latn,1-4
azj_Latn-hin_Deva,1-4
azj_Latn-hrv_Latn,1-4
azj_Latn-hun_Latn,1-4
azj_Latn-ita_Latn,1-4
azj_Latn-kor_Hang,1-4
azj_Latn-nld_Latn,1-4
azj_Latn-pol_Latn,1-4
azj_Latn-por_Latn,1-4
azj_Latn-rus_Cyrl,1-4
azj_Latn-srp_Cyrl,1-4
azj_Latn-swe_Latn,1-4
azj_Latn-tur_Latn,1-4
azj_Latn-vie_Latn,1-4
bak_Cyrl-ces_Latn,1-4
bak_Cyrl-fas_Arab,1-4
bak_Cyrl-fin_Latn,1-4
bak_Cyrl-hrv_Latn,1-4
bak_Cyrl-hun_Latn,1-4
bak_Cyrl-ita_Latn,1-4
bak_Cyrl-nld_Latn,1-4
bak_Cyrl-pol_Latn,1-4
bak_Cyrl-por_Latn,1-4
bak_Cyrl-rus_Cyrl,1-4
bak_Cyrl-srp_Latn,1-4
bak_Cyrl-swe_Latn,1-4
bak_Cyrl-tur_Latn,1-4
bak_Cyrl-vie_Latn,1-4
bam_Latn-ita_Latn,1-4
bam_Latn-por_Latn,1-4
bar_Latn-fin_Latn,1-4
bar_Latn-hrv_Latn,1-4
bar_Latn-hun_Latn,1-4
bar_Latn-ita_Latn,1-4
bar_Latn-nld_Latn,1-4
bar_Latn-pol_Latn,1-4
bar_Latn-por_Latn,1-4
bar_Latn-rus_Cyrl,1-4
bar_Latn-swe_Latn,1-4
bar_Latn-tur_Latn,1-4
bho_Deva-hin_Deva,1-4
bho_Deva-por_Latn,1-4
bho_Deva-rus_Cyrl,1-4
bjn_Latn-por_Latn,1-4
bre_Latn-cat_Latn,1-4
bre_Latn-ces_Latn,1-4
bre_Latn-eus_Latn,1-4
bre_Latn-fas_Arab,1-4
bre_Latn-fin_Latn,1-4
bre_Latn-hin_Deva,1-4
bre_Latn-hrv_Latn,1-4
bre_Latn-hun_Latn,1-4
bre_Latn-ita_Latn,1-4
bre_Latn-kor_Hang,1-4
bre_Latn-nld_Latn,1-4
bre_Latn-pol_Latn,1-4
bre_Latn-por_Latn,1-4
bre_Latn-rus_Cyrl,1-4
bre_Latn-srp_Cyrl,1-4
bre_Latn-srp_Latn,1-4
bre_Latn-swe_Latn,1-4
bre_Latn-tur_Latn,1-4
bre_Latn-vie_Latn,1-4
cbk_Latn-ita_Latn,1-4
cbk_Latn-nld_Latn,1-4
cbk_Latn-pol_Latn,1-4
cbk_Latn-por_Latn,1-4
chv_Cyrl-rus_Cyrl,1-4
ckb_Arab-fas_Arab,1-4
ckb_Arab-nld_Latn,1-4
ckb_Arab-pol_Latn,1-4
ckb_Arab-por_Latn,1-4
ckb_Arab-rus_Cyrl,1-4
ckb_Arab-swe_Latn,1-4
ckb_Arab-tur_Latn,1-4
ckb_Arab-vie_Latn,1-4
crh_Cyrl-rus_Cyrl,1-4
crh_Latn-rus_Cyrl,1-4
crh_Latn-vie_Latn,1-4
cym_Latn-eus_Latn,1-4
cym_Latn-fas_Arab,1-4
cym_Latn-fin_Latn,1-4
cym_Latn-hin_Deva,1-4
cym_Latn-hrv_Latn,1-4
cym_Latn-hun_Latn,1-4
cym_Latn-ita_Latn,1-4
cym_Latn-kor_Hang,1-4
cym_Latn-nld_Latn,1-4
cym_Latn-pol_Latn,1-4
cym_Latn-por_Latn,1-4
cym_Latn-rus_Cyrl,1-4
cym_Latn-srp_Cyrl,1-4
cym_Latn-srp_Latn,1-4
cym_Latn-swe_Latn,1-4
cym_Latn-tur_Latn,1-4
cym_Latn-vie_Latn,1-4
epo_Latn-eus_Latn,1-4
epo_Latn-fas_Arab,1-4
epo_Latn-fin_Latn,1-4
epo_Latn-hin_Deva,1-4
epo_Latn-hrv_Latn,1-4
epo_Latn-hun_Latn,1-4
epo_Latn-ita_Latn,1-4
epo_Latn-kor_Hang,1-4
epo_Latn-nld_Latn,1-4
epo_Latn-pol_Latn,1-4
epo_Latn-por_Latn,1-4
epo_Latn-rus_Cyrl,1-4
epo_Latn-srp_Cyrl,1-4
epo_Latn-srp_Latn,1-4
epo_Latn-swe_Latn,1-4
epo_Latn-tur_Latn,1-4
epo_Latn-vie_Latn,1-4
fao_Latn-hrv_Latn,1-4
fao_Latn-hun_Latn,1-4
fao_Latn-ita_Latn,1-4
fao_Latn-nld_Latn,1-4
fao_Latn-pol_Latn,1-4
fao_Latn-por_Latn,1-4
fao_Latn-rus_Cyrl,1-4
fao_Latn-srp_Cyrl,1-4
fao_Latn-swe_Latn,1-4
fao_Latn-tur_Latn,1-4
fij_Latn-hin_Deva,1-4
fry_Latn-hin_Deva,1-4
fry_Latn-hrv_Latn,1-4
fry_Latn-hun_Latn,1-4
fry_Latn-ita_Latn,1-4
fry_Latn-kor_Hang,1-4
fry_Latn-nld_Latn,1-4
fry_Latn-pol_Latn,1-4
fry_Latn-por_Latn,1-4
fry_Latn-rus_Cyrl,1-4
fry_Latn-srp_Cyrl,1-4
fry_Latn-swe_Latn,1-4
fry_Latn-tur_Latn,1-4
ful_Latn-fin_Latn,1-4
ful_Latn-hrv_Latn,1-4
ful_Latn-hun_Latn,1-4
ful_Latn-ita_Latn,1-4
ful_Latn-nld_Latn,1-4
ful_Latn-pol_Latn,1-4
ful_Latn-por_Latn,1-4
ful_Latn-rus_Cyrl,1-4
ful_Latn-swe_Latn,1-4
ful_Latn-tur_Latn,1-4
ful_Latn-vie_Latn,1-4
fur_Latn-fas_Arab,1-4
fur_Latn-fin_Latn,1-4
fur_Latn-hin_Deva,1-4
fur_Latn-hrv_Latn,1-4
fur_Latn-hun_Latn,1-4
fur_Latn-ita_Latn,1-4
fur_Latn-kor_Hang,1-4
fur_Latn-nld_Latn,1-4
fur_Latn-pol_Latn,1-4
fur_Latn-por_Latn,1-4
fur_Latn-rus_Cyrl,1-4
fur_Latn-srp_Cyrl,1-4
fur_Latn-srp_Latn,1-4
fur_Latn-swe_Latn,1-4
fur_Latn-tur_Latn,1-4
fur_Latn-vie_Latn,1-4
gla_Latn-hin_Deva,1-4
gla_Latn-hrv_Latn,1-4
gla_Latn-hun_Latn,1-4
gla_Latn-ita_Latn,1-4
gla_Latn-nld_Latn,1-4
gla_Latn-pol_Latn,1-4
gla_Latn-por_Latn,1-4
gla_Latn-rus_Cyrl,1-4
gla_Latn-srp_Cyrl,1-4
gla_Latn-swe_Latn,1-4
gla_Latn-tur_Latn,1-4
grc_Grek-fin_Latn,1-4
grc_Grek-hun_Latn,1-4
grc_Grek-ita_Latn,1-4
grc_Grek-nld_Latn,1-4
grc_Grek-pol_Latn,1-4
grc_Grek-por_Latn,1-4
grc_Grek-tur_Latn,1-4
grn_Latn-por_Latn,1-4
gsw_Latn-fin_Latn,1-4
gsw_Latn-hrv_Latn,1-4
gsw_Latn-hun_Latn,1-4
gsw_Latn-ita_Latn,1-4
gsw_Latn-kor_Hang,1-4
gsw_Latn-nld_Latn,1-4
gsw_Latn-pol_Latn,1-4
gsw_Latn-por_Latn,1-4
gsw_Latn-rus_Cyrl,1-4
gsw_Latn-swe_Latn,1-4
gsw_Latn-tur_Latn,1-4
gsw_Latn-vie_Latn,1-4
guj_Gujr-hin_Deva,1-4
guj_Gujr-hrv_Latn,1-4
guj_Gujr-hun_Latn,1-4
guj_Gujr-ita_Latn,1-4
guj_Gujr-kor_Hang,1-4
guj_Gujr-nld_Latn,1-4
guj_Gujr-pol_Latn,1-4
guj_Gujr-por_Latn,1-4
guj_Gujr-rus_Cyrl,1-4
guj_Gujr-srp_Cyrl,1-4
guj_Gujr-swe_Latn,1-4
guj_Gujr-tur_Latn,1-4
guj_Gujr-vie_Latn,1-4
hbs_Latn-srp_Cyrl,1-4
hbs_Latn-swe_Latn,1-4
hbs_Latn-tur_Latn,1-4
hne_Deva-hrv_Latn,1-4
hne_Deva-hun_Latn,1-4
hne_Deva-ita_Latn,1-4
hne_Deva-nld_Latn,1-4
hne_Deva-pol_Latn,1-4
hne_Deva-por_Latn,1-4
hne_Deva-rus_Cyrl,1-4
hne_Deva-swe_Latn,1-4
hne_Deva-tur_Latn,1-4
hne_Deva-vie_Latn,1-4
hye_Armn-ita_Latn,1-4
hye_Armn-kor_Hang,1-4
hye_Armn-nld_Latn,1-4
hye_Armn-pol_Latn,1-4
hye_Armn-por_Latn,1-4
hye_Armn-rus_Cyrl,1-4
hye_Armn-srp_Cyrl,1-4
hye_Armn-swe_Latn,1-4
hye_Armn-tur_Latn,1-4
hye_Armn-vie_Latn,1-4
ibo_Latn-ita_Latn,1-4
ibo_Latn-kor_Hang,1-4
ibo_Latn-nld_Latn,1-4
ibo_Latn-pol_Latn,1-4
ibo_Latn-por_Latn,1-4
ibo_Latn-rus_Cyrl,1-4
ibo_Latn-srp_Cyrl,1-4
ibo_Latn-swe_Latn,1-4
ibo_Latn-tur_Latn,1-4
ibo_Latn-vie_Latn,1-4
ido_Latn-ita_Latn,1-4
ido_Latn-nld_Latn,1-4
ido_Latn-pol_Latn,1-4
ido_Latn-por_Latn,1-4
ido_Latn-rus_Cyrl,1-4
ido_Latn-swe_Latn,1-4
ido_Latn-tur_Latn,1-4
ilo_Latn-hun_Latn,1-4
ilo_Latn-ita_Latn,1-4
ilo_Latn-kor_Hang,1-4
ilo_Latn-nld_Latn,1-4
ilo_Latn-pol_Latn,1-4
ilo_Latn-por_Latn,1-4
ilo_Latn-rus_Cyrl,1-4
ilo_Latn-srp_Cyrl,1-4
ilo_Latn-srp_Latn,1-4
ilo_Latn-swe_Latn,1-4
ilo_Latn-tur_Latn,1-4
ilo_Latn-vie_Latn,1-4
ina_Latn-hun_Latn,1-4
ina_Latn-ita_Latn,1-4
ina_Latn-nld_Latn,1-4
ina_Latn-pol_Latn,1-4
ina_Latn-por_Latn,1-4
ina_Latn-rus_Cyrl,1-4
ina_Latn-srp_Latn,1-4
ina_Latn-swe_Latn,1-4
ina_Latn-tur_Latn,1-4
ina_Latn-vie_Latn,1-4
jam_Latn-hun_Latn,1-4
jam_Latn-ita_Latn,1-4
jam_Latn-nld_Latn,1-4
jam_Latn-pol_Latn,1-4
jam_Latn-por_Latn,1-4
jam_Latn-rus_Cyrl,1-4
jam_Latn-tur_Latn,1-4
jav_Latn-kor_Hang,1-4
jav_Latn-nld_Latn,1-4
jav_Latn-pol_Latn,1-4
jav_Latn-por_Latn,1-4
jav_Latn-rus_Cyrl,1-4
jav_Latn-srp_Cyrl,1-4
jav_Latn-swe_Latn,1-4
jav_Latn-tur_Latn,1-4
jav_Latn-vie_Latn,1-4
kab_Latn-eus_Latn,1-4
kab_Latn-fas_Arab,1-4
kab_Latn-fin_Latn,1-4
kab_Latn-hrv_Latn,1-4
kab_Latn-hun_Latn,1-4
kab_Latn-ita_Latn,1-4
kab_Latn-kor_Hang,1-4
kab_Latn-nld_Latn,1-4
kab_Latn-pol_Latn,1-4
kab_Latn-por_Latn,1-4
kab_Latn-rus_Cyrl,1-4
kab_Latn-srp_Latn,1-4
kab_Latn-swe_Latn,1-4
kab_Latn-tur_Latn,1-4
kab_Latn-vie_Latn,1-4
kan_Knda-hin_Deva,1-4
kan_Knda-kor_Hang,1-4
kan_Knda-nld_Latn,1-4
kan_Knda-pol_Latn,1-4
kan_Knda-por_Latn,1-4
kan_Knda-rus_Cyrl,1-4
kan_Knda-srp_Cyrl,1-4
kan_Knda-swe_Latn,1-4
kan_Knda-tur_Latn,1-4
kan_Knda-vie_Latn,1-4
kea_Latn-por_Latn,1-4
khk_Cyrl-nld_Latn,1-4
khk_Cyrl-pol_Latn,1-4
khk_Cyrl-por_Latn,1-4
khk_Cyrl-rus_Cyrl,1-4
khk_Cyrl-srp_Cyrl,1-4
khk_Cyrl-swe_Latn,1-4
khk_Cyrl-tur_Latn,1-4
khk_Cyrl-vie_Latn,1-4
khm_Khmr-kor_Hang,1-4
khm_Khmr-nld_Latn,1-4
khm_Khmr-pol_Latn,1-4
khm_Khmr-por_Latn,1-4
khm_Khmr-rus_Cyrl,1-4
khm_Khmr-srp_Cyrl,1-4
khm_Khmr-srp_Latn,1-4
khm_Khmr-swe_Latn,1-4
khm_Khmr-tur_Latn,1-4
khm_Khmr-vie_Latn,1-4
kin_Latn-hun_Latn,1-4
kin_Latn-ita_Latn,1-4
kin_Latn-nld_Latn,1-4
kin_Latn-pol_Latn,1-4
kin_Latn-por_Latn,1-4
kin_Latn-rus_Cyrl,1-4
kin_Latn-srp_Cyrl,1-4
kin_Latn-swe_Latn,1-4
kin_Latn-tur_Latn,1-4
kin_Latn-vie_Latn,1-4
kir_Cyrl-nld_Latn,1-4
kir_Cyrl-pol_Latn,1-4
kir_Cyrl-por_Latn,1-4
kir_Cyrl-rus_Cyrl,1-4
kir_Cyrl-srp_Cyrl,1-4
kir_Cyrl-swe_Latn,1-4
kir_Cyrl-tur_Latn,1-4
kir_Cyrl-vie_Latn,1-4
kmb_Latn-por_Latn,1-4
kmr_Latn-nld_Latn,1-4
kmr_Latn-pol_Latn,1-4
kmr_Latn-por_Latn,1-4
kmr_Latn-rus_Cyrl,1-4
kmr_Latn-srp_Cyrl,1-4
kmr_Latn-swe_Latn,1-4
kmr_Latn-tur_Latn,1-4
kmr_Latn-vie_Latn,1-4
lij_Latn-por_Latn,1-4
lim_Latn-fin_Latn,1-4
lim_Latn-hin_Deva,1-4
lim_Latn-hrv_Latn,1-4
lim_Latn-hun_Latn,1-4
lim_Latn-ita_Latn,1-4
lim_Latn-nld_Latn,1-4
lim_Latn-pol_Latn,1-4
lim_Latn-por_Latn,1-4
lim_Latn-rus_Cyrl,1-4
lim_Latn-srp_Cyrl,1-4
lim_Latn-srp_Latn,1-4
lim_Latn-swe_Latn,1-4
lim_Latn-tur_Latn,1-4
lim_Latn-vie_Latn,1-4
lin_Latn-ita_Latn,1-4
lin_Latn-nld_Latn,1-4
lin_Latn-pol_Latn,1-4
lin_Latn-por_Latn,1-4
lin_Latn-rus_Cyrl,1-4
lin_Latn-swe_Latn,1-4
lin_Latn-tur_Latn,1-4
lin_Latn-vie_Latn,1-4
lmo_Latn-nld_Latn,1-4
lmo_Latn-pol_Latn,1-4
lmo_Latn-por_Latn,1-4
lmo_Latn-rus_Cyrl,1-4
lmo_Latn-swe_Latn,1-4
ltg_Latn-rus_Cyrl,1-4
ltz_Latn-hun_Latn,1-4
ltz_Latn-ita_Latn,1-4
ltz_Latn-nld_Latn,1-4
ltz_Latn-pol_Latn,1-4
ltz_Latn-por_Latn,1-4
ltz_Latn-rus_Cyrl,1-4
ltz_Latn-srp_Cyrl,1-4
ltz_Latn-swe_Latn,1-4
ltz_Latn-tur_Latn,1-4
lug_Latn-nld_Latn,1-4
lug_Latn-pol_Latn,1-4
lug_Latn-por_Latn,1-4
lug_Latn-rus_Cyrl,1-4
lug_Latn-swe_Latn,1-4
lug_Latn-tur_Latn,1-4
lug_Latn-vie_Latn,1-4
lzh_Hani-kor_Hang,1-4
lzh_Hani-nld_Latn,1-4
lzh_Hani-pol_Latn,1-4
lzh_Hani-por_Latn,1-4
lzh_Hani-rus_Cyrl,1-4
lzh_Hani-swe_Latn,1-4
lzh_Hani-tur_Latn,1-4
mal_Mlym-nld_Latn,1-4
mal_Mlym-pol_Latn,1-4
mal_Mlym-por_Latn,1-4
mal_Mlym-rus_Cyrl,1-4
mal_Mlym-srp_Cyrl,1-4
mal_Mlym-srp_Latn,1-4
mal_Mlym-swe_Latn,1-4
mal_Mlym-tur_Latn,1-4
mal_Mlym-vie_Latn,1-4
mhr_Cyrl-ces_Latn,1-4
mhr_Cyrl-fas_Arab,1-4
mhr_Cyrl-fin_Latn,1-4
mhr_Cyrl-hrv_Latn,1-4
mhr_Cyrl-hun_Latn,1-4
mhr_Cyrl-ita_Latn,1-4
mhr_Cyrl-nld_Latn,1-4
mhr_Cyrl-pol_Latn,1-4
mhr_Cyrl-por_Latn,1-4
mhr_Cyrl-rus_Cyrl,1-4
mhr_Cyrl-srp_Latn,1-4
mhr_Cyrl-swe_Latn,1-4
mhr_Cyrl-tur_Latn,1-4
mhr_Cyrl-vie_Latn,1-4
mkd_Cyrl-ces_Latn,1-4
mkd_Cyrl-eus_Latn,1-4
mkd_Cyrl-fas_Arab,1-4
mkd_Cyrl-fin_Latn,1-4
mkd_Cyrl-hrv_Latn,1-4
mkd_Cyrl-hun_Latn,1-4
mkd_Cyrl-ita_Latn,1-4
mkd_Cyrl-nld_Latn,1-4
mkd_Cyrl-pol_Latn,1-4
mkd_Cyrl-por_Latn,1-4
mkd_Cyrl-rus_Cyrl,1-4
mkd_Cyrl-srp_Cyrl,1-4
mkd_Cyrl-srp_Latn,1-4
mkd_Cyrl-swe_Latn,1-4
mkd_Cyrl-tur_Latn,1-4
mkd_Cyrl-vie_Latn,1-4
mlg_Latn-nld_Latn,1-4
mlg_Latn-pol_Latn,1-4
mlg_Latn-por_Latn,1-4
mlg_Latn-rus_Cyrl,1-4
mlg_Latn-srp_Cyrl,1-4
mlg_Latn-swe_Latn,1-4
mlg_Latn-tur_Latn,1-4
mlg_Latn-vie_Latn,1-4
mon_Cyrl-nld_Latn,1-4
mon_Cyrl-pol_Latn,1-4
mon_Cyrl-por_Latn,1-4
mon_Cyrl-rus_Cyrl,1-4
mon_Cyrl-srp_Cyrl,1-4
mon_Cyrl-swe_Latn,1-4
mon_Cyrl-tur_Latn,1-4
mon_Cyrl-vie_Latn,1-4
mri_Latn-nld_Latn,1-4
mri_Latn-pol_Latn,1-4
mri_Latn-por_Latn,1-4
mri_Latn-rus_Cyrl,1-4
mri_Latn-srp_Cyrl,1-4
mri_Latn-swe_Latn,1-4
mri_Latn-tur_Latn,1-4
mri_Latn-vie_Latn,1-4
mwl_Latn-por_Latn,1-4
mya_Mymr-nld_Latn,1-4
mya_Mymr-pol_Latn,1-4
mya_Mymr-por_Latn,1-4
mya_Mymr-rus_Cyrl,1-4
mya_Mymr-srp_Cyrl,1-4
mya_Mymr-srp_Latn,1-4
mya_Mymr-swe_Latn,1-4
mya_Mymr-tur_Latn,1-4
mya_Mymr-vie_Latn,1-4
nah_Latn-por_Latn,1-4
nap_Latn-nld_Latn,1-4
nap_Latn-pol_Latn,1-4
nap_Latn-por_Latn,1-4
nap_Latn-rus_Cyrl,1-4
nap_Latn-srp_Latn,1-4
nap_Latn-swe_Latn,1-4
nap_Latn-tur_Latn,1-4
nep_Deva-nld_Latn,1-4
nep_Deva-pol_Latn,1-4
nep_Deva-por_Latn,1-4
nep_Deva-rus_Cyrl,1-4
nep_Deva-srp_Cyrl,1-4
nep_Deva-swe_Latn,1-4
nep_Deva-tur_Latn,1-4
nep_Deva-vie_Latn,1-4
nno_Latn-fin_Latn,1-4
nno_Latn-hrv_Latn,1-4
nno_Latn-hun_Latn,1-4
nno_Latn-ita_Latn,1-4
nno_Latn-nld_Latn,1-4
nno_Latn-pol_Latn,1-4
nno_Latn-por_Latn,1-4
nno_Latn-rus_Cyrl,1-4
nno_Latn-srp_Cyrl,1-4
nno_Latn-srp_Latn,1-4
nno_Latn-swe_Latn,1-4
nno_Latn-tur_Latn,1-4
nno_Latn-vie_Latn,1-4
nob_Latn-ces_Latn,1-4
nob_Latn-eus_Latn,1-4
nob_Latn-fas_Arab,1-4
nob_Latn-fin_Latn,1-4
nob_Latn-hin_Deva,1-4
nob_Latn-hrv_Latn,1-4
nob_Latn-hun_Latn,1-4
nob_Latn-ita_Latn,1-4
nob_Latn-kor_Hang,1-4
nob_Latn-nld_Latn,1-4
nob_Latn-pol_Latn,1-4
nob_Latn-por_Latn,1-4
nob_Latn-rus_Cyrl,1-4
nob_Latn-srp_Cyrl,1-4
nob_Latn-srp_Latn,1-4
nob_Latn-swe_Latn,1-4
nob_Latn-tur_Latn,1-4
nob_Latn-vie_Latn,1-4
nor_Latn-ces_Latn,1-4
nor_Latn-eus_Latn,1-4
nor_Latn-hrv_Latn,1-4
nor_Latn-pol_Latn,1-4
nor_Latn-por_Latn,1-4
nor_Latn-rus_Cyrl,1-4
nor_Latn-srp_Cyrl,1-4
nor_Latn-srp_Latn,1-4
nor_Latn-swe_Latn,1-4
nor_Latn-tur_Latn,1-4
nor_Latn-vie_Latn,1-4
npi_Deva-nld_Latn,1-4
npi_Deva-pol_Latn,1-4
npi_Deva-por_Latn,1-4
npi_Deva-rus_Cyrl,1-4
npi_Deva-srp_Cyrl,1-4
npi_Deva-swe_Latn,1-4
npi_Deva-tur_Latn,1-4
npi_Deva-vie_Latn,1-4
nso_Latn-pol_Latn,1-4
nso_Latn-por_Latn,1-4
nso_Latn-rus_Cyrl,1-4
nso_Latn-swe_Latn,1-4
nso_Latn-tur_Latn,1-4
nya_Latn-pol_Latn,1-4
nya_Latn-por_Latn,1-4
nya_Latn-rus_Cyrl,1-4
nya_Latn-srp_Cyrl,1-4
nya_Latn-swe_Latn,1-4
nya_Latn-tur_Latn,1-4
nya_Latn-vie_Latn,1-4
oci_Latn-hun_Latn,1-4
oci_Latn-ita_Latn,1-4
oci_Latn-nld_Latn,1-4
oci_Latn-pol_Latn,1-4
oci_Latn-por_Latn,1-4
oci_Latn-rus_Cyrl,1-4
oci_Latn-srp_Cyrl,1-4
oci_Latn-swe_Latn,1-4
oci_Latn-tur_Latn,1-4
orm_Latn-pol_Latn,1-4
orm_Latn-por_Latn,1-4
orm_Latn-rus_Cyrl,1-4
orm_Latn-tur_Latn,1-4
orv_Cyrl-rus_Cyrl,1-4
pag_Latn-por_Latn,1-4
pag_Latn-rus_Cyrl,1-4
pap_Latn-fin_Latn,1-4
pap_Latn-hrv_Latn,1-4
pap_Latn-hun_Latn,1-4
pap_Latn-ita_Latn,1-4
pap_Latn-nld_Latn,1-4
pap_Latn-pol_Latn,1-4
pap_Latn-por_Latn,1-4
pap_Latn-rus_Cyrl,1-4
pap_Latn-srp_Latn,1-4
pap_Latn-swe_Latn,1-4
pap_Latn-tur_Latn,1-4
pap_Latn-vie_Latn,1-4
pbt_Arab-por_Latn,1-4
pbt_Arab-rus_Cyrl,1-4
pbt_Arab-srp_Cyrl,1-4
pbt_Arab-swe_Latn,1-4
pbt_Arab-tur_Latn,1-4
pbt_Arab-vie_Latn,1-4
plt_Latn-nld_Latn,1-4
plt_Latn-pol_Latn,1-4
plt_Latn-por_Latn,1-4
plt_Latn-rus_Cyrl,1-4
plt_Latn-srp_Cyrl,1-4
plt_Latn-swe_Latn,1-4
plt_Latn-tur_Latn,1-4
plt_Latn-vie_Latn,1-4
pus_Arab-por_Latn,1-4
pus_Arab-rus_Cyrl,1-4
pus_Arab-srp_Cyrl,1-4
pus_Arab-swe_Latn,1-4
pus_Arab-tur_Latn,1-4
pus_Arab-vie_Latn,1-4
rmy_Latn-rus_Cyrl,1-4
rmy_Latn-swe_Latn,1-4
rmy_Latn-tur_Latn,1-4
roh_Latn-pol_Latn,1-4
roh_Latn-por_Latn,1-4
roh_Latn-rus_Cyrl,1-4
roh_Latn-swe_Latn,1-4
roh_Latn-tur_Latn,1-4
sag_Latn-por_Latn,1-4
scn_Latn-nld_Latn,1-4
scn_Latn-pol_Latn,1-4
scn_Latn-por_Latn,1-4
scn_Latn-rus_Cyrl,1-4
scn_Latn-swe_Latn,1-4
scn_Latn-tur_Latn,1-4
scn_Latn-vie_Latn,1-4
sco_Latn-fin_Latn,1-4
sco_Latn-hrv_Latn,1-4
sco_Latn-hun_Latn,1-4
sco_Latn-ita_Latn,1-4
sco_Latn-nld_Latn,1-4
sco_Latn-pol_Latn,1-4
sco_Latn-por_Latn,1-4
sco_Latn-rus_Cyrl,1-4
sco_Latn-swe_Latn,1-4
sco_Latn-tur_Latn,1-4
sco_Latn-vie_Latn,1-4
sin_Sinh-srp_Cyrl,1-4
sin_Sinh-srp_Latn,1-4
sin_Sinh-swe_Latn,1-4
sin_Sinh-tur_Latn,1-4
sin_Sinh-vie_Latn,1-4
sna_Latn-por_Latn,1-4
sna_Latn-rus_Cyrl,1-4
sna_Latn-srp_Cyrl,1-4
sna_Latn-swe_Latn,1-4
sna_Latn-tur_Latn,1-4
sna_Latn-vie_Latn,1-4
snd_Arab-srp_Cyrl,1-4
snd_Arab-swe_Latn,1-4
snd_Arab-tur_Latn,1-4
som_Latn-srp_Cyrl,1-4
som_Latn-swe_Latn,1-4
som_Latn-tur_Latn,1-4
som_Latn-vie_Latn,1-4
sqi_Latn-srp_Cyrl,1-4
sqi_Latn-srp_Latn,1-4
sqi_Latn-swe_Latn,1-4
sqi_Latn-tur_Latn,1-4
sqi_Latn-vie_Latn,1-4
srd_Latn-ces_Latn,1-4
srd_Latn-eus_Latn,1-4
srd_Latn-fas_Arab,1-4
srd_Latn-fin_Latn,1-4
srd_Latn-hin_Deva,1-4
srd_Latn-hrv_Latn,1-4
srd_Latn-hun_Latn,1-4
